ticker,price,change_amount,change_percentage,volume
CRBP,29.49,21.05,249.4076%,33042606
SMXWW,0.0075,0.0048,177.7778%,126873
MYPSW,0.18,0.103,133.7662%,1
GOVXW,0.0693,0.039,128.7129%,30
DRMAW,0.0239,0.0114,91.2%,200
SMX,0.43,0.1945,82.5902%,9223636
TNONW,0.06,0.0254,73.4104%,500
GMBLZ,0.0034,0.0014,70.0%,26575
BTOG,4.74,1.95,69.8925%,446573
COCHW,0.0189,0.0077,68.75%,27549
AISPW,0.05,0.02,66.6667%,51373
MRDB+,0.031,0.0121,64.0212%,9575
ALSAR,0.133,0.051,62.1951%,12369
IMCC,0.3281,0.1224,59.5041%,2458892
CDROW,0.17,0.06,54.5455%,21600
PAVMZ,0.1,0.035,53.8462%,197
PLMIW,0.1776,0.0621,53.7662%,4700
VLD+,0.0275,0.0095,52.7778%,13173
EMCGW,0.0198,0.0068,52.3077%,4826
ACON,2.84,0.975,52.2788%,33361934
